                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5012,                 3.9735,                 1.0536,                0.00636,                0.18182,                0.02061,                0.01207,                 1.4193,                 3.5196,                0.97501,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 1.7049,                 3.8284,                 1.1323,                0.00638,                0.18182,                 0.0166,                0.00994,                 1.4241,                 3.5177,                0.97922,             4.9911e-05,             4.9911e-05,             4.9911e-05
                      3,                 1.4023,                 3.9628,                0.99422,                0.00942,                0.27273,                0.07671,                0.04823,                 1.4937,                 3.4794,                0.96121,              8.302e-05,              8.302e-05,              8.302e-05
                      4,                 1.5131,                 3.4587,                 1.0912,                 0.0143,                0.40909,                 0.1551,                0.09661,                 1.5262,                 3.4779,                0.96746,               0.000116,               0.000116,               0.000116
                      5,                 1.4249,                 3.3658,                0.95918,                0.01641,                0.48485,                0.17516,                0.10475,                 1.6657,                 3.4606,                0.98861,             0.00014884,             0.00014884,             0.00014884
                      6,                 1.4801,                 2.7477,                0.95034,                 0.0171,                    0.5,                0.18301,                0.08664,                 1.7054,                 3.3979,                0.98783,             0.00018155,             0.00018155,             0.00018155
                      7,                 1.3273,                 2.4674,                 0.9325,                0.01606,                0.48485,                0.19675,                 0.0977,                 1.6043,                 3.2938,                0.97253,             0.00021414,             0.00021414,             0.00021414
                      8,                  1.411,                 1.5263,                0.94079,                0.01576,                0.48485,                0.26485,                 0.1609,                 1.4688,                 3.1227,                0.94238,             0.00024658,             0.00024658,             0.00024658
                      9,                 1.4497,                 1.9239,                0.93223,                0.01523,                 0.4697,                0.27685,                0.16956,                  1.461,                 3.0916,                0.94304,              0.0002789,              0.0002789,              0.0002789
                     10,                 1.4312,                   1.79,                0.94043,                 0.0149,                 0.4697,                0.26357,                0.16791,                 1.4631,                 3.0685,                0.93795,             0.00031109,             0.00031109,             0.00031109
