                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5012,                 3.9735,                 1.0536,                0.00636,                0.18182,                0.02061,                0.01207,                 1.4193,                 3.5196,                0.97501,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 1.7049,                 3.8284,                 1.1323,                0.00638,                0.18182,                 0.0166,                0.00994,                 1.4241,                 3.5177,                0.97922,             4.9515e-05,             4.9515e-05,             4.9515e-05
                      3,                  1.403,                 3.9651,                0.99431,                0.00943,                0.27273,                 0.0746,                0.04876,                 1.4934,                  3.482,                0.96091,               8.17e-05,               8.17e-05,               8.17e-05
                      4,                  1.518,                 3.4637,                 1.0917,                0.01426,                0.40909,                 0.1503,                0.09512,                 1.5222,                 3.4791,                0.96729,             0.00011322,             0.00011322,             0.00011322
                      5,                 1.4267,                 3.3776,                0.95922,                 0.0166,                0.48485,                0.17109,                 0.1025,                 1.6477,                  3.467,                0.98082,             0.00014409,             0.00014409,             0.00014409
                      6,                 1.4811,                 2.7731,                0.94921,                0.01744,                    0.5,                0.18953,                0.09931,                 1.6736,                 3.3818,                0.97885,             0.00017429,             0.00017429,             0.00017429
                      7,                 1.3006,                 2.4736,                0.91725,                 0.0167,                0.48485,                0.19051,                 0.1099,                 1.5326,                 3.2963,                0.94938,             0.00020384,             0.00020384,             0.00020384
                      8,                 1.4441,                 1.5554,                0.94912,                0.01558,                 0.4697,                 0.2146,                0.12466,                 1.4245,                  3.146,                0.94523,             0.00023272,             0.00023272,             0.00023272
                      9,                 1.4287,                 1.9441,                0.91822,                0.01544,                 0.4697,                0.21982,                0.13689,                 1.4163,                 3.1066,                0.93731,             0.00026095,             0.00026095,             0.00026095
                     10,                  1.403,                 1.8841,                0.93405,                0.01523,                 0.4697,                0.23894,                0.14784,                 1.4282,                 3.0876,                0.93374,             0.00028851,             0.00028851,             0.00028851
                     11,                 1.3461,                 1.4201,                0.90517,                0.01512,                 0.4697,                0.26713,                0.16429,                 1.4223,                 3.0598,                0.93567,             0.00031541,             0.00031541,             0.00031541
                     12,                 1.4346,                 1.8947,                0.94563,                0.01499,                 0.4697,                0.26668,                0.16958,                 1.4113,                 3.0303,                0.93147,             0.00034166,             0.00034166,             0.00034166
                     13,                 1.3564,                 1.4393,                 0.9218,                0.02107,                0.42193,                0.22875,                0.15471,                  1.411,                  3.015,                0.93554,             0.00036724,             0.00036724,             0.00036724
                     14,                 1.3372,                 1.6997,                0.90125,                0.01518,                 0.4697,                0.21111,                0.13712,                 1.4307,                 3.0186,                0.93841,             0.00039216,             0.00039216,             0.00039216
