                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2044,                 3.7649,                 1.0219,                0.00545,                0.32684,                0.09207,                0.06421,                0.97942,                 3.3602,                0.96287,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                 1.2463,                 3.4968,                 1.0645,                0.00705,                0.44372,                0.26985,                0.20955,                0.93336,                 3.2817,                 0.9421,             0.00011646,             0.00011646,             0.00011646
                      3,                 1.1955,                 2.8948,                0.99075,                0.00868,                0.63961,                0.33862,                0.25433,                 1.0155,                 3.1136,                  0.945,             0.00018264,             0.00018264,             0.00018264
                      4,                 1.1028,                 1.9367,                 0.9569,                      1,                0.18621,                0.34739,                0.25507,                 1.0348,                 2.8554,                0.95438,             0.00024856,             0.00024856,             0.00024856
                      5,                 1.0268,                 1.5811,                0.93352,                      1,                 0.2116,                0.35242,                0.25439,                  1.047,                 2.7384,                0.96521,             0.00031422,             0.00031422,             0.00031422
                      6,                 1.0103,                 1.3885,                0.96948,                      1,                0.20257,                0.34832,                0.24495,                 1.0552,                 2.6792,                0.96796,             0.00037961,             0.00037961,             0.00037961
                      7,                 1.0059,                 1.3498,                0.97004,                      1,                0.14847,                0.35024,                0.23904,                   1.06,                 2.7683,                0.96805,             0.00044474,             0.00044474,             0.00044474
                      8,                 1.0383,                  1.445,                0.93209,                      1,                0.11172,                0.34716,                0.24231,                 1.0748,                  2.919,                0.98474,             0.00050961,             0.00050961,             0.00050961
                      9,                 1.0978,                 1.2815,                0.95347,                      1,                0.04025,                0.28926,                0.20001,                 1.1359,                 3.0376,                 1.0327,             0.00057421,             0.00057421,             0.00057421
                     10,                 1.0273,                 1.2734,                0.98413,                0.97141,                0.12504,                0.25841,                0.18875,                 1.0973,                 3.0697,                 1.0409,             0.00063854,             0.00063854,             0.00063854
                     11,                 1.0506,                 1.2231,                0.99991,                0.86571,                0.06818,                0.21463,                0.15225,                 1.0987,                 3.1112,                 1.0518,             0.00070262,             0.00070262,             0.00070262
                     12,                0.97405,                 1.0693,                0.95576,                0.95341,                0.07386,                0.21357,                0.13832,                 1.1736,                 3.0458,                 1.1105,             0.00076643,             0.00076643,             0.00076643
                     13,                0.86717,                  1.094,                 0.9433,                0.89435,                0.09848,                0.19834,                0.13226,                 1.2084,                 3.0479,                 1.1209,             0.00082997,             0.00082997,             0.00082997
