                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.97038,                 1.1648,                0.96061,                0.41734,                0.31228,                0.26924,                0.12338,                 1.7298,                  3.793,                 1.3652,              0.0015548,              0.0015548,              0.0015548
                     36,                 1.0333,                 1.1051,                0.96774,                0.28435,                0.33322,                0.20576,                0.10699,                 1.7753,                 3.6453,                 1.4101,              0.0015515,              0.0015515,              0.0015515
                     37,                 1.0455,                 1.0649,                0.93348,                0.28435,                0.33322,                0.20576,                0.10699,                 1.7753,                 3.6453,                 1.4101,              0.0015482,              0.0015482,              0.0015482
                     38,                 1.0745,                 1.1673,                0.97402,                0.39899,                0.28142,                0.21513,                0.10667,                 1.7895,                 3.3624,                 1.4915,              0.0015449,              0.0015449,              0.0015449
                     39,                 1.1087,                 1.1993,                0.97159,                 0.4183,                0.33356,                0.27936,                0.14651,                 1.6568,                 2.5141,                 1.3807,              0.0015416,              0.0015416,              0.0015416
                     40,                 1.0315,                  1.123,                0.97633,                0.54617,                0.36297,                0.33351,                0.20197,                 1.5856,                 2.3231,                 1.3003,              0.0015383,              0.0015383,              0.0015383
                     41,                 1.0314,                 1.0607,                0.95945,                0.54617,                0.36297,                0.33351,                0.20197,                 1.5856,                 2.3231,                 1.3003,               0.001535,               0.001535,               0.001535
                     42,                 1.0941,                 1.1699,                0.97826,                0.59664,                 0.3895,                0.37304,                0.22416,                 1.5749,                 2.3135,                 1.3148,              0.0015317,              0.0015317,              0.0015317
                     43,                0.95721,                 1.0989,                0.98205,                0.50504,                0.41979,                0.40854,                0.24013,                  1.505,                 2.2122,                 1.2642,              0.0015284,              0.0015284,              0.0015284
                     44,                0.94552,                  1.022,                0.95199,                0.61552,                0.49917,                0.54951,                0.27913,                 1.5355,                 2.0714,                 1.2737,              0.0015251,              0.0015251,              0.0015251
                     45,                0.97734,                 1.0291,                 0.9127,                0.61552,                0.49917,                0.54951,                0.27913,                 1.5355,                 2.0714,                 1.2737,              0.0015218,              0.0015218,              0.0015218
                     46,                0.96899,                0.97656,                0.90895,                0.75579,                0.54472,                0.62743,                 0.3319,                 1.5597,                 1.9024,                 1.2673,              0.0015185,              0.0015185,              0.0015185
                     47,                0.93973,                 1.0705,                0.95467,                0.78668,                0.53075,                0.65671,                0.34064,                 1.5738,                 1.8745,                 1.2974,              0.0015152,              0.0015152,              0.0015152
                     48,                 0.9733,                 1.0634,                0.94317,                0.75755,                0.54211,                 0.6686,                0.36571,                 1.5127,                 1.9233,                 1.2547,              0.0015119,              0.0015119,              0.0015119
                     49,                 1.0461,                 1.1136,                0.98117,                0.75755,                0.54211,                 0.6686,                0.36571,                 1.5127,                 1.9233,                 1.2547,              0.0015086,              0.0015086,              0.0015086
                     50,                0.90979,                 1.0463,                 0.9256,                0.73795,                0.58757,                  0.669,                0.36825,                 1.4911,                 2.0131,                 1.2799,              0.0015053,              0.0015053,              0.0015053
                     51,                  0.968,                0.95956,                 0.9362,                0.69791,                0.53057,                0.58556,                0.29274,                  1.509,                 2.3213,                 1.3276,               0.001502,               0.001502,               0.001502
                     52,                0.99142,                0.97588,                0.93157,                0.68165,                0.51605,                0.56746,                0.30778,                 1.4542,                 2.2761,                 1.2311,              0.0014987,              0.0014987,              0.0014987
                     53,                0.87432,                0.95911,                 0.9512,                0.68165,                0.51605,                0.56746,                0.30778,                 1.4542,                 2.2761,                 1.2311,              0.0014954,              0.0014954,              0.0014954
                     54,                0.87277,                0.95912,                0.93926,                0.70367,                0.50802,                0.62943,                0.34558,                 1.4564,                 2.0548,                 1.2042,              0.0014921,              0.0014921,              0.0014921
                     55,                0.90803,                0.89313,                0.89071,                0.68527,                0.61146,                0.63284,                0.34942,                 1.5329,                 1.8783,                 1.2262,              0.0014888,              0.0014888,              0.0014888
                     56,                0.93681,                0.97279,                0.94877,                0.79156,                0.66529,                0.68755,                0.38403,                  1.475,                 1.6192,                  1.201,              0.0014855,              0.0014855,              0.0014855
                     57,                0.90111,                0.91142,                0.91458,                0.79156,                0.66529,                0.68755,                0.38403,                  1.475,                 1.6192,                  1.201,              0.0014822,              0.0014822,              0.0014822
                     58,                0.94824,                0.86493,                 0.9384,                0.71933,                 0.7094,                 0.7158,                0.40335,                 1.3783,                 1.4878,                 1.1634,              0.0014789,              0.0014789,              0.0014789
                     59,                 0.9307,                0.89953,                0.96527,                0.73662,                0.78008,                0.76811,                0.39798,                 1.4132,                 1.4434,                 1.1697,              0.0014756,              0.0014756,              0.0014756
                     60,                0.99036,                0.96415,                0.94102,                0.82893,                0.75067,                0.79818,                 0.4079,                 1.4469,                 1.4036,                 1.1787,              0.0014723,              0.0014723,              0.0014723
                     61,                0.89315,                0.86866,                0.93548,                0.82893,                0.75067,                0.79818,                 0.4079,                 1.4469,                 1.4036,                 1.1787,               0.001469,               0.001469,               0.001469
                     62,                0.92041,                  0.834,                0.92669,                0.90254,                0.66509,                0.78376,                0.43775,                 1.4268,                 1.3126,                 1.1966,              0.0014657,              0.0014657,              0.0014657
                     63,                0.88205,                0.89748,                0.92621,                 0.8637,                0.70154,                0.82155,                0.45015,                 1.3839,                 1.2521,                 1.1637,              0.0014624,              0.0014624,              0.0014624
                     64,                0.92571,                0.84249,                0.91351,                0.83948,                0.68984,                0.80447,                 0.4379,                 1.3966,                 1.2764,                 1.1583,              0.0014591,              0.0014591,              0.0014591
                     65,                0.86946,                0.87073,                0.94336,                0.83948,                0.68984,                0.80447,                 0.4379,                 1.3966,                 1.2764,                 1.1583,              0.0014558,              0.0014558,              0.0014558
                     66,                0.83492,                0.78884,                 0.8947,                0.84499,                 0.6453,                0.77873,                0.44354,                 1.4108,                 1.1968,                 1.1708,              0.0014525,              0.0014525,              0.0014525
                     67,                0.92013,                0.86769,                0.93831,                0.83127,                0.68026,                0.76887,                0.44411,                 1.3492,                 1.2539,                 1.1467,              0.0014492,              0.0014492,              0.0014492
                     68,                0.88798,                0.89801,                0.95521,                0.80807,                0.74197,                0.78579,                0.45544,                 1.3352,                 1.2509,                 1.1433,              0.0014459,              0.0014459,              0.0014459
                     69,                0.93351,                0.86979,                0.96831,                0.80807,                0.74197,                0.78579,                0.45544,                 1.3352,                 1.2509,                 1.1433,              0.0014426,              0.0014426,              0.0014426
                     70,                0.85194,                0.83924,                0.93532,                0.73956,                0.64906,                0.75727,                0.43853,                 1.3722,                 1.3241,                 1.1644,              0.0014393,              0.0014393,              0.0014393
                     71,                0.86278,                0.87866,                 0.9403,                0.73124,                0.69652,                0.70854,                 0.4202,                 1.3713,                 1.3022,                 1.1668,               0.001436,               0.001436,               0.001436
                     72,                0.91555,                0.85601,                0.91942,                0.72763,                0.70471,                0.69157,                0.40947,                 1.3559,                 1.3371,                 1.1479,              0.0014327,              0.0014327,              0.0014327
                     73,                0.85227,                 0.7786,                0.90782,                0.72763,                0.70471,                0.69157,                0.40947,                 1.3559,                 1.3371,                 1.1479,              0.0014294,              0.0014294,              0.0014294
                     74,                0.84764,                0.87078,                0.95041,                 0.8157,                0.60863,                0.66228,                0.40428,                 1.4003,                  1.452,                 1.1613,              0.0014261,              0.0014261,              0.0014261
                     75,                0.82586,                0.84725,                 0.9137,                0.79415,                0.59893,                0.65195,                0.38766,                  1.387,                 1.4177,                   1.18,              0.0014228,              0.0014228,              0.0014228
                     76,                0.96493,                0.86801,                0.91149,                0.80738,                0.65993,                 0.7233,                0.37368,                 1.4295,                 1.4513,                 1.2158,              0.0014195,              0.0014195,              0.0014195
                     77,                0.94341,                0.83031,                0.93056,                0.80738,                0.65993,                 0.7233,                0.37368,                 1.4295,                 1.4513,                 1.2158,              0.0014161,              0.0014161,              0.0014161
                     78,                0.94259,                0.80909,                0.95573,                0.78927,                0.72271,                 0.7302,                0.38059,                  1.419,                 1.4897,                 1.2134,              0.0014128,              0.0014128,              0.0014128
                     79,                0.91098,                0.84042,                0.92092,                0.83145,                0.74535,                0.77181,                0.41371,                 1.3472,                 1.2835,                 1.1808,              0.0014095,              0.0014095,              0.0014095
                     80,                0.84523,                0.75008,                0.90358,                0.82814,                0.85963,                0.81092,                0.47029,                 1.3114,                  1.167,                 1.1549,              0.0014062,              0.0014062,              0.0014062
                     81,                0.86673,                0.74764,                0.91661,                0.82814,                0.85963,                0.81092,                0.47029,                 1.3114,                  1.167,                 1.1549,              0.0014029,              0.0014029,              0.0014029
                     82,                0.86233,                0.84356,                0.90827,                0.91032,                0.82622,                0.82251,                0.46499,                 1.3657,                 1.1478,                 1.1624,              0.0013996,              0.0013996,              0.0013996
                     83,                0.88046,                0.85859,                 0.9133,                0.90182,                 0.8093,                0.83946,                0.47582,                 1.3801,                 1.1437,                 1.1732,              0.0013963,              0.0013963,              0.0013963
                     84,                0.85594,                0.78528,                0.92122,                0.88597,                0.75535,                0.81858,                 0.4612,                 1.4152,                 1.1936,                 1.1853,               0.001393,               0.001393,               0.001393
                     85,                 0.8939,                0.86549,                0.93114,                0.88597,                0.75535,                0.81858,                 0.4612,                 1.4152,                 1.1936,                 1.1853,              0.0013897,              0.0013897,              0.0013897
                     86,                0.80485,                0.75605,                0.91291,                0.83814,                0.74834,                0.80494,                0.44001,                 1.3994,                 1.2463,                 1.1943,              0.0013864,              0.0013864,              0.0013864
                     87,                0.80826,                0.75993,                0.91872,                0.83682,                0.78476,                0.78496,                 0.4494,                 1.3759,                  1.273,                 1.1764,              0.0013831,              0.0013831,              0.0013831
                     88,                0.90506,                0.73521,                0.88545,                0.88132,                 0.7734,                0.78665,                0.44408,                 1.3917,                 1.2663,                 1.1578,              0.0013798,              0.0013798,              0.0013798
